titulo,catalogos,cites,cuartil,sjr,url,categories
Ca-A Cancer Journal for Clinicians ,{'journal'},35427,Q1,106.094,journalsearch.php?q=28773&tip=sid&clean=0,"['Hematology', 'Oncology']"
Foundations and Trends in Machine Learning ,{'journal'},955,Q1,37.044,journalsearch.php?q=19300156903&tip=sid&clean=0,"['Artificial Intelligence', 'Human-Computer Interaction', 'Software']"
Nature Reviews Molecular Cell Biology ,{'journal'},13599,Q1,35.91,journalsearch.php?q=20315&tip=sid&clean=0,"['Cell Biology', 'Molecular Biology']"
Quarterly Journal of Economics ,{'journal'},2240,Q1,30.448,journalsearch.php?q=29431&tip=sid&clean=0,['Economics and Econometrics']
Nature Reviews Cancer ,{'journal'},10951,Q1,26.837,journalsearch.php?q=12464&tip=sid&clean=0,"['Cancer Research', 'Oncology']"
Cell ,{'journal'},53447,Q1,24.342,journalsearch.php?q=18434&tip=sid&clean=0,"['Biochemistry, Genetics and Molecular Biology (miscellaneous']"
Nature Reviews Drug Discovery ,{'journal'},13091,Q1,22.399,journalsearch.php?q=20425&tip=sid&clean=0,"['Drug Discovery', 'Medicine (miscellaneous)', 'Pharmacology']"
American Economic Review ,{'journal'},4811,Q1,22.344,journalsearch.php?q=22697&tip=sid&clean=0,['Economics and Econometrics']
Nature Reviews Materials ,{'journal'},13775,Q1,21.836,journalsearch.php?q=21100812243&tip=sid&clean=0,"['Biomaterials', 'Electronic, Optical and Magnetic Materials', 'Energy (miscellaneous)', 'Materials Chemistry', 'Surfaces, Coatings and Films']"
Nature Reviews Clinical Oncology ,{'journal'},10807,Q1,21.048,journalsearch.php?q=17700156734&tip=sid&clean=0,['Oncology']
New England Journal of Medicine ,{'journal'},107246,Q1,20.544,journalsearch.php?q=15847&tip=sid&clean=0,['Medicine (miscellaneous']
Journal of Finance ,{'journal'},1938,Q1,19.139,journalsearch.php?q=17500&tip=sid&clean=0,"['Accounting', 'Economics and Econometrics', 'Finance']"
Nature Medicine ,{'journal'},36243,Q1,19.045,journalsearch.php?q=15819&tip=sid&clean=0,"['Biochemistry, Genetics and Molecular Biology (miscellaneous)', 'Medicine (miscellaneous']"
Current Protocols in Bioinformatics ,{'journal'},963,Q1,18.663,journalsearch.php?q=11600154092&tip=sid&clean=0,"['Biochemistry', 'Medicine (miscellaneous)', 'Structural Biology']"
MMWR supplements ,{'journal'},802,Q1,18.587,journalsearch.php?q=21100466539&tip=sid&clean=0,['Medicine (miscellaneous']
Journal of Political Economy ,{'journal'},2531,Q1,18.53,journalsearch.php?q=24404&tip=sid&clean=0,['Economics and Econometrics']
Nature ,{'journal'},160102,Q1,18.509,journalsearch.php?q=21206&tip=sid&clean=0,['Multidisciplinary']
Nature Biotechnology ,{'journal'},17008,Q1,18.117,journalsearch.php?q=16115&tip=sid&clean=0,"['Applied Microbiology and Biotechnology', 'Bioengineering', 'Biomedical Engineering', 'Biotechnology', 'Molecular Medicine']"
Chemical Reviews ,{'journal'},50519,Q1,17.828,journalsearch.php?q=23340&tip=sid&clean=0,['Chemistry (miscellaneous']
Econometrica ,{'journal'},1946,Q1,17.701,journalsearch.php?q=19482&tip=sid&clean=0,['Economics and Econometrics']
Review of Financial Studies ,{'journal'},4495,Q1,17.654,journalsearch.php?q=16161&tip=sid&clean=0,"['Accounting', 'Economics and Econometrics', 'Finance']"
Cancer Cell ,{'journal'},12604,Q1,17.507,journalsearch.php?q=29093&tip=sid&clean=0,"['Cancer Research', 'Cell Biology', 'Oncology']"
Nature Energy ,{'journal'},16808,Q1,17.497,journalsearch.php?q=21100812579&tip=sid&clean=0,"['Electronic, Optical and Magnetic Materials', 'Energy Engineering and Power Technology', 'Fuel Technology', 'Renewable Energy, Sustainability and the Environment']"
